  75     3
  1307    12   171
   700    24   972
   127    43   305
   896     2   847
  2337    37    27
  3231    15   712
  2530    33  1292
  1876    24   308
  1516    30  2876
  3164    45   299
   675    22  1177
    30    45  1855
   296    24  2490
   821    25  3157
   893    36    19
  1384    45  1641
   897    11  1368
  1899    21  3156
   405    37  1830
   836    23   229
   428    40  2451
  2975    49  3264
  1312    22  3145
  3022    35  3284
  1164    39   477
  2084    45  1192
  1509    31   188
  2300    37   657
  2727    15   743
   359    49  2033
  2396     8   926
  1608    18  2412
  2472    21  3002
   225    25  2292
   657    28  1967
  1099    48  1676
  3347    11  3040
   480    10  2395
   1865    46  1245
  2387    21  3219
  1188    23  3260
  2413    45   861
  3224     9  1465
  1206    12  1377
  1571    29  2452
  1107     3  1300
  1797    13   179
  1223    33  1515
   174    21  2664
   110    34   317
  2336    10   761
   497    28  2767
   620    20  1836
   173    26  1270
  2017    50  1879
  197     6   490
  1020    32  2077
  2624    48  1230
  1283    33  3031
  1829    26  1286
  1255    11  2017
  3027     4  2827
   420    18   604
  1532     4   787
  3267     8   336
  3036    31   994
  1406     9  2707
  1607    22  1711
  2978     8  3217
   531    30  2778
   118    45  3126
  2715    19   803
   890    25  1834
  1654     2  2899
  1479    25  1900
  3125    34  2610
